"title","no_rows",genre
"Meant To Be",43,"pop"
"I Like Me Better",41,"pop"
"Love Lies",41,"r&b"
"Perfect",40,"pop"
"The Middle",40,"pop"
"Psycho",39,"hip hop pop"
"Sad!",38,"hip hop pop"
"Tequila",38,"country pop"
"God's Plan",36,"hip hop pop"
"Boo'd Up",35,"r&b"
"Delicate",35,"pop"
"Never Be The Same",35,"pop"
"I Like It",34,"hip hop pop"
"Mine",34,"pop"
"Better Now",31,"hip hop pop"
"Friends",31,"edm pop"
"Lucid Dreams",29,"hip hop pop"
"Yes Indeed",29,"hip hop"
"Girls Like You",27,"pop"
"Havana",27,"pop"
